10,1,5,1,1,10,1,10,9.5,10,9.5,10,1,1,1
9.5,10,6,9,1,10,10,10,3.5,10,1,1,10,1,10
10,1,1,10,4.5,1,1,10,10,10,7.5,10,1,10,1.5
10,10,10,9.5,1,10,10,10,10,8.5,1,10,1,10,6
1,1,10,1,10,10,1,1,10,1,10,10,10,3,1
1,1,6,1,10,1,9.5,1,10,1,8,10,1,1,7.5
1,8.5,10,8,1,8.5,10,1,9,10,7.5,10,10,9.5,10
5,6,10,9,1,10,10,1,10,6.5,1,9,9.5,10,10
10,9.5,10,10,1,3.5,10,5.5,7.5,10,1,10,5.5,9.5,10
6.5,7,10,1,10,1,10,10,10,1,1,10,1,10,9.5
8,1,10,1,10,1,1,1,1,10,10,1,1,1,3
10,1,1,10,1,9,10,1,10,1,1,10,10,1,10
1,10,7,10,9,1,1,8.5,7,10,1,10,10,6,1
1,8.5,10,10,10,10,10,8,10,10,1,1,7,10,1
7,8.5,1,10,1,10,1,1,10,1,7.5,10,8.5,1,10
